oid,t,lon,lat
8,1443650609,-4.7669315,47.97699
11,1443650609,-4.48929,48.377186
7,1443650610,-4.436475,48.157166
9,1443650611,-4.7817817,47.99525
10,1443650611,-4.47093,48.16615
1,1443650612,-4.4657617,48.382492
4,1443650614,-4.4850736,48.381348
3,1443650616,-4.65665,48.0912
20,1443650617,-4.3268385,48.098644
0,1443650618,-4.36302,48.118015
27,1443650619,-4.4191065,48.12009
7,1443650619,-4.4360566,48.1569
8,1443650619,-4.766802,47.976555
1,1443650622,-4.465757,48.38248
10,1443650622,-4.471005,48.16614
2,1443650622,-4.4965916,48.382427
4,1443650625,-4.4850717,48.38134
3,1443650625,-4.657232,48.091152
5,1443650627,-4.4954615,48.38366
0,1443650628,-4.36358,48.118053
7,1443650629,-4.43558,48.156605
8,1443650629,-4.7666736,47.97596
14,1443650629,-4.4969916,48.20726
9,1443650631,-4.781815,47.9942
10,1443650632,-4.471075,48.166134
1,1443650632,-4.4657516,48.382473
2,1443650633,-4.496595,48.382427
4,1443650634,-4.48507,48.381336
3,1443650635,-4.657758,48.09112
12,1443650637,-4.471555,48.11652
15,1443650638,-4.5161734,48.368355
0,1443650639,-4.3641415,48.11807
16,1443650639,-4.512665,48.370834
8,1443650639,-4.7665715,47.975574
9,1443650640,-4.7818317,47.993732
7,1443650640,-4.4350433,48.156315
10,1443650640,-4.47114,48.166126
17,1443650640,-4.5147915,48.36949
1,1443650642,-4.465745,48.38246
18,1443650644,-4.47944,48.38287
2,1443650644,-4.496595,48.382427
4,1443650645,-4.4850717,48.381332
3,1443650645,-4.6583385,48.091072
5,1443650646,-4.49546,48.38365
8,1443650648,-4.76643,47.975086
0,1443650648,-4.364587,48.118073
9,1443650649,-4.7818484,47.993217
7,1443650649,-4.434555,48.15605
10,1443650650,-4.4712114,48.16612
1,1443650652,-4.465765,48.38251
2,1443650652,-4.49659,48.382427
4,1443650655,-4.4850783,48.38133
3,1443650656,-4.658975,48.091034
0,1443650657,-4.3650265,48.11808
8,1443650659,-4.7662783,47.974556
7,1443650659,-4.4340634,48.15579
9,1443650660,-4.781882,47.9927
10,1443650661,-4.471285,48.166115
4,1443650665,-4.48508,48.38133
3,1443650666,-4.6595535,48.090992
0,1443650667,-4.36551,48.118084
5,1443650667,-4.49546,48.38365
19,1443650669,-4.485998,48.38064
8,1443650669,-4.76614,47.974068
9,1443650670,-4.781915,47.992184
7,1443650670,-4.433562,48.15554
10,1443650671,-4.4713616,48.166115
1,1443650672,-4.4657884,48.382545
2,1443650674,-4.496587,48.382404
4,1443650675,-4.4850864,48.38134
3,1443650676,-4.6601367,48.090942
0,1443650678,-4.3660383,48.118076
8,1443650678,-4.766035,47.973625
12,1443650679,-4.4690084,48.116722
21,1443650679,-4.48599,48.380745
7,1443650679,-4.4330916,48.15533
10,1443650681,-4.4714217,48.166115
9,1443650681,-4.781965,47.991634
2,1443650682,-4.4965835,48.38241
22,1443650684,-4.485705,48.38109
4,1443650684,-4.4850917,48.381332
12,1443650684,-4.4687085,48.116764
3,1443650685,-4.660713,48.090904
5,1443650687,-4.4954515,48.383656
0,1443650687,-4.3664784,48.118065
12,1443650688,-4.46853,48.11679
7,1443650689,-4.43259,48.155094
8,1443650690,-4.7658634,47.97304
9,1443650691,-4.781998,47.991116
10,1443650692,-4.471495,48.166115
12,1443650692,-4.4682264,48.116825
2,1443650693,-4.496575,48.38242
4,1443650694,-4.485095,48.38133
3,1443650695,-4.661258,48.090878
20,1443650698,-4.326845,48.09864
8,1443650699,-4.7657385,47.972645
0,1443650699,-4.3670683,48.11805
7,1443650700,-4.43203,48.154823
10,1443650700,-4.4715567,48.16611
1,1443650702,-4.4657617,48.3825
3,1443650704,-4.6618333,48.090805
4,1443650706,-4.4850965,48.38133
8,1443650708,-4.765595,47.972153
0,1443650709,-4.367505,48.118046
9,1443650709,-4.782065,47.990116
7,1443650710,-4.431522,48.15458
10,1443650710,-4.471637,48.166107
1,1443650712,-4.465755,48.38249
2,1443650712,-4.4965715,48.38241
23,1443650715,-4.4766335,48.339153
4,1443650715,-4.4850965,48.381325
3,1443650716,-4.6624584,48.090725
8,1443650719,-4.765478,47.9716
0,1443650719,-4.368045,48.118046
7,1443650719,-4.4310164,48.154327
10,1443650721,-4.471715,48.1661
1,1443650722,-4.465757,48.38249
2,1443650723,-4.496568,48.3824
28,1443650723,-4.642645,48.0002
4,1443650725,-4.4850965,48.381325
3,1443650726,-4.66304,48.09067
0,1443650727,-4.368435,48.11805
8,1443650728,-4.76537,47.97116
12,1443650728,-4.466037,48.116985
7,1443650729,-4.43052,48.15406
10,1443650731,-4.4717984,48.1661
1,1443650732,-4.4657536,48.382473
2,1443650734,-4.49656,48.382404
4,1443650735,-4.485105,48.381332
3,1443650736,-4.6636133,48.09062
24,1443650737,-4.4524035,48.38466
0,1443650738,-4.368965,48.118073
8,1443650738,-4.765207,47.97069
7,1443650740,-4.430035,48.153786
10,1443650741,-4.4718766,48.166092
1,1443650742,-4.4657536,48.38246
4,1443650744,-4.4851084,48.38133
3,1443650745,-4.6641884,48.090565
16,1443650745,-4.5124984,48.370834
25,1443650745,-4.4591,48.386093
0,1443650747,-4.3694015,48.11809
8,1443650749,-4.7650833,47.970215
7,1443650749,-4.4296064,48.15354
1,1443650752,-4.465757,48.382465
10,1443650752,-4.4719567,48.166092
2,1443650753,-4.496555,48.382416
26,1443650754,-4.485795,48.37979
4,1443650754,-4.48511,48.381325
3,1443650754,-4.6647015,48.090515
16,1443650754,-4.5124984,48.370834
16,1443650756,-4.5124984,48.370834
8,1443650759,-4.7649283,47.96969
0,1443650759,-4.369995,48.118122
10,1443650760,-4.472027,48.16609
7,1443650760,-4.4291034,48.153217
1,1443650762,-4.4657583,48.382473
16,1443650763,-4.5124984,48.370834
3,1443650764,-4.665293,48.09048
